node1,node2,size
1535154,2285578,210
1535154,2001572,210
1535154,1437053,210
1535154,3441728,210
2272743,3774597,200
2272743,3614076,200
2272743,4192625,200
2272743,3226930,200
2272743,2551697,200
4192625,3774597,200
4192625,3614076,200
4192625,2272743,200
4192625,2521618,200
4192625,3226930,200
4192625,1074688,200
4192625,3661661,200
4192625,2551697,200
4192625,3024069,200
4192625,3655642,200
4192625,2859748,200
4192625,3431959,200
4192852,3774597,200
4192852,3614076,200
4192852,2521618,200
4192852,2476077,200
4192852,2551697,200
4192852,2859748,200
2102397,3226930,200
2102397,3431959,200
3209101,3774597,200
3209101,3614076,200
3209101,2521618,200
3209101,2652682,200
3209101,2551697,200
2551697,3774597,200
2551697,3614076,200
2551697,2272743,200
2551697,3783737,200
2551697,4192625,200
2551697,4192852,200
2551697,3209101,200
2551697,2521618,200
2551697,2476077,200
2551697,3226930,200
2551697,1074688,200
2551697,3661661,200
2551697,3024069,200
2551697,3655642,200
2551697,2859748,200
2551697,3431959,200
3024069,3774597,200
3024069,3614076,200
3024069,4192625,200
3024069,2521618,200
3024069,3226930,200
3024069,1074688,200
3024069,2551697,200
3024069,3655642,200
3024069,2859748,200
3024069,3431959,200
3655642,3774597,200
3655642,3614076,200
3655642,4192625,200
3655642,2521618,200
3655642,3226930,200
3655642,1074688,200
3655642,2551697,200
3655642,3024069,200
3655642,2859748,200
3655642,3431959,200
2120198,3783737,200
3783737,2120198,200
3783737,3774597,200
3783737,3614076,200
3783737,2551697,200
2521618,3774597,200
2521618,3614076,200
2521618,4192625,200
2521618,4192852,200
2521618,3209101,200
2521618,2476077,200
2521618,3226930,200
2521618,1074688,200
2521618,2551697,200
2521618,3024069,200
2521618,3655642,200
2521618,2859748,200
2521618,3431959,200
2652682,3209101,200
3661661,3774597,200
3661661,3614076,200
3661661,4192625,200
3661661,3226930,200
3661661,2551697,200
3614076,3774597,200
3614076,2272743,200
3614076,3783737,200
3614076,4192625,200
3614076,4192852,200
3614076,3209101,200
3614076,2521618,200
3614076,2476077,200
3614076,3226930,200
3614076,1074688,200
3614076,3661661,200
3614076,2551697,200
3614076,3024069,200
3614076,3655642,200
3614076,2859748,200
3614076,3431959,200
2476077,3774597,200
2476077,3614076,200
2476077,4192852,200
2476077,2521618,200
2476077,2551697,200
2476077,2859748,200
2859748,3774597,200
2859748,3614076,200
2859748,4192625,200
2859748,4192852,200
2859748,2521618,200
2859748,2476077,200
2859748,3226930,200
2859748,1074688,200
2859748,2551697,200
2859748,3024069,200
2859748,3655642,200
2859748,3431959,200
3226930,3774597,200
3226930,2102397,200
3226930,3614076,200
3226930,2272743,200
3226930,4192625,200
3226930,2521618,200
3226930,1074688,200
3226930,3661661,200
3226930,2551697,200
3226930,3024069,200
3226930,3655642,200
3226930,2859748,200
3226930,3431959,200
1074688,3774597,200
1074688,3614076,200
1074688,4192625,200
1074688,2521618,200
1074688,3226930,200
1074688,2551697,200
1074688,3024069,200
1074688,3655642,200
1074688,2859748,200
1074688,3431959,200
3431959,3774597,200
3431959,2102397,200
3431959,3614076,200
3431959,4192625,200
3431959,2521618,200
3431959,3226930,200
3431959,1074688,200
3431959,2551697,200
3431959,3024069,200
3431959,3655642,200
3431959,2859748,200
3774597,3614076,200
3774597,2272743,200
3774597,3783737,200
3774597,4192625,200
3774597,4192852,200
3774597,3209101,200
3774597,2521618,200
3774597,2476077,200
3774597,3226930,200
3774597,1074688,200
3774597,3661661,200
3774597,2551697,200
3774597,3024069,200
3774597,3655642,200
3774597,2859748,200
3774597,3431959,200
2520918,2827419,180
2520918,1224985,180
2520918,1324672,180
2520918,3939919,180
2520918,1885439,180
2520918,2729594,180
2520918,1983280,180
2520918,2084799,180
2520918,2486535,180
2520918,728004,180
2520918,1901034,180
2520918,1411728,180
2520918,3214993,180
2520918,1858095,180
2520918,2921373,180
2520918,1563903,180
2520918,2474204,180
2921373,2827419,180
2921373,1224985,180
2921373,1324672,180
2921373,3939919,180
2921373,1885439,180
2921373,2729594,180
2921373,1983280,180
2921373,2084799,180
2921373,2486535,180
2921373,728004,180
2921373,1901034,180
2921373,2520918,180
2921373,1411728,180
2921373,3214993,180
2921373,1858095,180
2921373,1563903,180
2921373,2474204,180
1563903,2827419,180
1563903,1224985,180
1563903,1324672,180
1563903,3939919,180
1563903,1885439,180
1563903,2729594,180
1563903,1983280,180
1563903,2084799,180
1563903,2486535,180
1563903,728004,180
1563903,1901034,180
1563903,2520918,180
1563903,1411728,180
1563903,3214993,180
1563903,1858095,180
1563903,2921373,180
1563903,2474204,180
3214993,2827419,180
3214993,1224985,180
3214993,1324672,180
3214993,3939919,180
3214993,1885439,180
3214993,2729594,180
3214993,1983280,180
3214993,2084799,180
3214993,2486535,180
3214993,728004,180
3214993,1901034,180
3214993,2520918,180
3214993,1411728,180
3214993,1858095,180
3214993,2921373,180
3214993,1563903,180
3214993,2474204,180
1858095,2827419,180
1858095,1224985,180
1858095,1324672,180
1858095,3939919,180
1858095,1885439,180
1858095,2729594,180
1858095,1983280,180
1858095,2084799,180
1858095,2486535,180
1858095,728004,180
1858095,1901034,180
1858095,2520918,180
1858095,1411728,180
1858095,3214993,180
1858095,2921373,180
1858095,1563903,180
1858095,2474204,180
2729594,2827419,180
2729594,1224985,180
2729594,1324672,180
2729594,3939919,180
2729594,1885439,180
2729594,1983280,180
2729594,2084799,180
2729594,2486535,180
2729594,728004,180
2729594,1901034,180
2729594,2520918,180
2729594,1411728,180
2729594,3214993,180
2729594,1858095,180
2729594,2921373,180
2729594,1563903,180
2729594,2474204,180
2486535,2827419,180
2486535,1224985,180
2486535,1324672,180
2486535,3939919,180
2486535,1885439,180
2486535,2729594,180
2486535,1983280,180
2486535,2084799,180
2486535,728004,180
2486535,1901034,180
2486535,2520918,180
2486535,1411728,180
2486535,3214993,180
2486535,1858095,180
2486535,2921373,180
2486535,1563903,180
2486535,2474204,180
2474204,2827419,180
2474204,1224985,180
2474204,1324672,180
2474204,3939919,180
2474204,1885439,180
2474204,2729594,180
2474204,1983280,180
2474204,2084799,180
2474204,2486535,180
2474204,728004,180
2474204,1901034,180
2474204,2520918,180
2474204,1411728,180
2474204,3214993,180
2474204,1858095,180
2474204,2921373,180
2474204,1563903,180
1983280,2827419,180
1983280,1224985,180
1983280,1324672,180
1983280,3939919,180
1983280,1885439,180
1983280,2729594,180
1983280,2084799,180
1983280,2486535,180
1983280,728004,180
1983280,1901034,180
1983280,2520918,180
1983280,1411728,180
1983280,3214993,180
1983280,1858095,180
1983280,2921373,180
1983280,1563903,180
1983280,2474204,180
2084799,2827419,180
2084799,1224985,180
2084799,1324672,180
2084799,3939919,180
2084799,1885439,180
2084799,2729594,180
2084799,1983280,180
2084799,2486535,180
2084799,728004,180
2084799,1901034,180
2084799,2520918,180
2084799,1411728,180
2084799,3214993,180
2084799,1858095,180
2084799,2921373,180
2084799,1563903,180
2084799,2474204,180
728004,2827419,180
728004,1224985,180
728004,1324672,180
728004,3939919,180
728004,1885439,180
728004,2729594,180
728004,1983280,180
728004,2084799,180
728004,2486535,180
728004,1901034,180
728004,2520918,180
728004,1411728,180
728004,3214993,180
728004,1858095,180
728004,2921373,180
728004,1563903,180
728004,2474204,180
1901034,2827419,180
1901034,1224985,180
1901034,1324672,180
1901034,3939919,180
1901034,1885439,180
1901034,2729594,180
1901034,1983280,180
1901034,2084799,180
1901034,2486535,180
1901034,728004,180
1901034,2520918,180
1901034,1411728,180
1901034,3214993,180
1901034,1858095,180
1901034,2921373,180
1901034,1563903,180
1901034,2474204,180
2827419,1224985,180
2827419,1324672,180
2827419,3939919,180
2827419,1885439,180
2827419,2729594,180
2827419,1983280,180
2827419,2084799,180
2827419,2486535,180
2827419,728004,180
2827419,1901034,180
